,freq,siec,plant_tec,operator,unit,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,A,CF,CAP_NET_ELC,PRR_AUTO,MW,AL,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A,CF,CAP_NET_ELC,PRR_AUTO,MW,AT,996.0,1003.0,1003.0,1019.0,1108.0,1106.0,1111.0,1108.0,1065.0,1071.0,1072.0,1201.0,1193.0,1188.0,1215.0,1213.0,1225.0,1272.0,1373.0,1566.0,1763.0,1839.0,1814.0,1844.0,1723.0,1701.0,1712.0,1341.011,1288.054,1784.427,1828.885,1933.275,1531.757
2,A,CF,CAP_NET_ELC,PRR_AUTO,MW,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.09
3,A,CF,CAP_NET_ELC,PRR_AUTO,MW,BE,745.0,762.0,754.0,728.0,666.0,666.0,625.0,627.0,622.0,643.0,440.0,414.0,408.0,406.0,401.0,490.0,494.0,549.0,963.0,1081.0,1125.0,1157.0,1286.0,1351.0,1399.0,1321.0,1228.1,1345.0,1418.2,1615.8,1681.0,1703.6,1880.7
4,A,CF,CAP_NET_ELC,PRR_AUTO,MW,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,392.0,545.0,415.0,459.0,340.0,270.0,263.0,213.0,192.0,181.0,47.0,56.0,51.0,63.0,65.0,60.0,137.0,187.0,234.396,234.417,160.77,155.458,171.05,213.035
5,A,CF,CAP_NET_ELC,PRR_AUTO,MW,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,16.0,22.0,35.0,32.0,32.0,36.0,36.0,36.0,32.0,41.0,37.0,37.12,36.918,29.718,29.718,30.218,23.308
6,A,CF,CAP_NET_ELC,PRR_AUTO,MW,CZ,1880.0,1914.0,1827.0,1708.0,1609.0,1501.0,1825.0,1822.0,1917.0,2160.0,2278.0,2316.0,2133.0,2050.0,2082.0,2135.0,2198.0,2190.0,1995.0,2028.0,1691.0,1713.0,1715.0,1713.0,1690.0,1685.0,1702.0,1752.0,1744.774,1741.046,1636.149,1604.996,1597.996
7,A,CF,CAP_NET_ELC,PRR_AUTO,MW,DE,12809.0,16336.0,15408.0,14916.0,15044.0,14703.0,12659.0,11572.0,11276.0,10851.0,10002.0,10333.0,10020.0,7883.0,7531.0,8003.0,8163.0,8208.0,9489.0,9454.0,9472.0,9371.0,6737.0,9296.0,9456.0,10415.0,10307.0,11310.0,11729.0,10954.0,10954.0,11063.0,11700.0
8,A,CF,CAP_NET_ELC,PRR_AUTO,MW,DK,160.0,138.0,156.0,179.0,238.0,300.0,344.0,439.0,450.0,515.0,540.0,546.0,570.0,604.0,634.0,636.0,625.0,636.0,656.0,647.0,636.0,632.0,630.0,574.0,616.0,615.206,618.936,629.895,640.558,570.201,562.854,554.986,554.996
9,A,CF,CAP_NET_ELC,PRR_AUTO,MW,EA20,32519.0,36397.0,35593.0,36007.0,36955.0,37433.0,36765.0,39109.0,41669.0,40563.0,27374.0,28301.523,29026.746,27505.389,32252.371,33054.861,34178.261,35171.65,38072.104,39146.97,39565.565,39696.721,35744.833,38223.791,38130.101,39306.62,39067.076,40588.242,41779.84,41637.661,41819.85,46659.348,47336.025
10,A,CF,CAP_NET_ELC,PRR_AUTO,MW,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,28.0,31.0,30.0,31.0,26.0,28.0,28.0,17.0,21.0,19.0,19.0,17.0,17.0,25.0,25.0,25.0,25.0,23.0,23.0,23.0,31.0
