,freq,siec,plant_tec,unit,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,A,R5100,CAP_NET_ELC,MW,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A,R5100,CAP_NET_ELC,MW,AT,400.0,400.0,400.0,412.0,412.0,544.0,607.0,609.0,747.0,787.0,780.0,766.0,766.0,766.0,766.0,1118.31,1334.785,1548.85,1542.49,1553.826,1588.634,1627.97,1105.461,1017.352,958.884,938.621,916.695,837.771,824.253,813.428,816.199,764.702,784.199
2,A,R5100,CAP_NET_ELC,MW,BA,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.25,1.22,1.12,9.22,9.22
3,A,R5100,CAP_NET_ELC,MW,BE,26.0,26.0,18.0,11.0,11.0,23.0,19.0,11.0,18.0,38.0,47.0,62.0,57.0,121.0,130.0,294.0,307.0,329.0,442.0,554.0,640.0,701.0,678.0,640.0,557.6,591.3,566.3,559.2,526.3,539.2,563.5,448.0,488.6
4,A,R5100,CAP_NET_ELC,MW,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,14.0,30.0,30.0,34.0,19.0,22.973,33.019,23.513,15.064,13.914,15.1
5,A,R5100,CAP_NET_ELC,MW,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A,R5100,CAP_NET_ELC,MW,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,103.0,102.0,133.0,176.0,213.0,254.0,271.0,306.0,330.0,306.0,355.0,380.0,376.0,402.0,385.0,434.0,452.0,456.0,455.0
7,A,R5100,CAP_NET_ELC,MW,DE,22.0,43.0,77.0,77.0,79.0,79.0,79.0,84.0,103.0,127.0,129.0,190.0,285.0,859.0,1020.0,1218.0,1411.0,1431.0,1457.0,1470.0,1502.0,1554.0,1558.0,1623.0,1589.0,1592.0,1600.0,1601.0,1585.0,1598.0,1571.0,1587.0,1592.0
8,A,R5100,CAP_NET_ELC,MW,DK,40.0,40.0,40.0,40.0,52.0,110.0,65.0,71.0,95.0,110.0,86.0,133.0,215.0,311.0,474.0,584.0,455.0,333.0,553.0,705.0,868.237,920.648,1155.55,918.719,989.359,973.414,1031.697,1501.26,1484.664,1681.11,1776.968,1847.796,1707.343
9,A,R5100,CAP_NET_ELC,MW,EA20,1747.0,1788.0,1920.0,1890.0,2115.0,2201.595,2237.396,2237.681,2465.777,2769.246,3274.461,3468.041,3809.134,4678.887,4876.942,5659.99,6210.78,6631.852,6913.763,7196.317,7693.089,7947.01,7690.815,7883.437,7733.917,7857.809,7988.091,8192.859,8478.982,8695.1,9337.153,9258.328,9785.734
